sample_id,source_sample_id,true_label,source,dm,peak_sigma,peak_time_s,peak_sigma_matched,peak_time_matched_s
sample_000569,FRB20201124_0095,FRB,FRB20201124,412.55,7.52,0.5348,7.52,0.5348
sample_000570,FRB20201124_0096,FRB,FRB20201124,412.55,9.07,0.5328,9.07,0.5328
sample_000571,FRB20201124_0097,FRB,FRB20201124,412.55,17.81,0.5367,17.81,0.5367
sample_000572,FRB20201124_0098,FRB,FRB20201124,412.55,15.03,0.5328,15.03,0.5328
sample_000573,FRB20201124_0099,FRB,FRB20201124,412.55,195.19,0.7864,195.19,0.7864
sample_000574,FRB20201124_0100,FRB,FRB20201124,412.55,19.96,0.5328,19.96,0.5328
sample_000575,FRB20201124_0101,FRB,FRB20201124,412.55,122.57,0.5328,122.57,0.5328
sample_000576,FRB20201124_0102,FRB,FRB20201124,412.55,124.44,0.2949,124.44,0.2949
sample_000577,FRB20201124_0103,FRB,FRB20201124,412.55,132.09,0.9359,132.09,0.9359
sample_000578,FRB20201124_0104,FRB,FRB20201124,412.55,7.22,0.5328,7.22,0.5328
sample_000579,FRB20201124_0105,FRB,FRB20201124,412.55,9.03,0.5328,9.03,0.5328
sample_000580,FRB20201124_0106,FRB,FRB20201124,412.55,13.91,0.5348,13.91,0.5348
sample_000581,FRB20201124_0107,FRB,FRB20201124,412.55,15.64,0.5328,15.64,0.5328
sample_000582,FRB20201124_0108,FRB,FRB20201124,412.55,179.48,0.5328,179.48,0.5328
sample_000583,FRB20201124_0109,FRB,FRB20201124,412.55,5.79,0.5328,5.79,0.5328
sample_000584,FRB20201124_0110,FRB,FRB20201124,412.55,567.28,0.5328,567.28,0.5328
sample_000585,FRB20201124_0111,FRB,FRB20201124,412.55,11.17,0.5328,11.17,0.5328
sample_000586,FRB20201124_0112,FRB,FRB20201124,412.55,647.62,0.5348,647.62,0.5348
sample_000587,FRB20201124_0113,FRB,FRB20201124,412.55,54.72,0.7058,54.72,0.7058
sample_000588,FRB20201124_0114,FRB,FRB20201124,412.55,12.05,0.5328,12.05,0.5328
sample_000589,FRB20201124_0115,FRB,FRB20201124,412.55,120.42,0.5328,120.42,0.5328
sample_000590,FRB20201124_0116,FRB,FRB20201124,412.55,13.02,0.5328,13.02,0.5328
sample_000591,FRB20201124_0117,FRB,FRB20201124,412.55,4.93,0.3362,4.93,0.3362
sample_000592,FRB20201124_0118,FRB,FRB20201124,412.55,57.18,0.5367,57.18,0.5367
sample_000593,FRB20201124_0119,FRB,FRB20201124,412.55,16.11,0.8395,16.11,0.8395
sample_000594,FRB20201124_0120,FRB,FRB20201124,412.55,124.29,0.5328,124.29,0.5328
sample_000595,FRB20201124_0121,FRB,FRB20201124,412.55,6.67,0.5328,6.67,0.5328
sample_000596,FRB20201124_0122,FRB,FRB20201124,412.55,8.12,0.5328,8.12,0.5328
sample_000597,FRB20201124_0123,FRB,FRB20201124,412.55,24.44,0.523,24.44,0.523
sample_000598,FRB20201124_0124,FRB,FRB20201124,412.55,19.58,0.5328,19.58,0.5328
sample_000599,FRB20201124_0125,FRB,FRB20201124,412.55,104.06,0.5328,104.06,0.5328
sample_000600,00001_neg_sample,RFI,,566.2,3.9,0.578,3.13,0.6105
sample_000601,00002_neg_sample,RFI,,564.4,5.66,1.0823,4.03,0.4443
sample_000602,00003_neg_sample,RFI,,567.3,5.69,0.7196,5.02,0.7737
sample_000603,00004_neg_sample,RFI,,565.8,4.62,0.1504,3.67,0.229
sample_000604,00005_neg_sample,RFI,,570.0,2.94,0.5004,2.81,0.9191
sample_000605,00006_neg_sample,RFI,,411.51,3.97,0.1691,3.74,0.7913
sample_000606,00007_neg_sample,RFI,,566.0,5.18,1.4234,5.11,0.7992
sample_000607,00008_neg_sample,RFI,,564.8,7.98,1.6456,3.75,0.8464
sample_000608,00009_neg_sample,RFI,,567.0,4.92,0.0433,3.65,0.1219
sample_000609,00010_neg_sample,RFI,,566.0,3.94,0.8641,3.0,0.8002
sample_000610,00011_neg_sample,RFI,,566.0,5.7,0.0305,3.07,0.0826
sample_000611,00012_neg_sample,RFI,,412.55,4.71,0.1347,3.81,0.4217
sample_000612,00013_neg_sample,RFI,,567.5,5.82,1.2465,4.54,0.8926
sample_000613,00014_neg_sample,RFI,,564.6,4.04,0.8218,3.5,0.3146
sample_000614,00015_neg_sample,RFI,,569.0,4.97,0.6095,3.29,0.5957
sample_000615,00016_neg_sample,RFI,,517.81,4.81,0.9221,3.6,0.9771
sample_000616,00017_neg_sample,RFI,,566.3,4.36,0.8228,2.81,0.2212
sample_000617,00018_neg_sample,RFI,,561.0,3.76,0.5358,3.82,0.0659
sample_000618,00019_neg_sample,RFI,,411.51,5.09,0.8828,4.25,0.5672
sample_000619,00020_neg_sample,RFI,,564.9,3.46,0.9663,2.71,0.8838
sample_000620,00021_neg_sample,RFI,,563.7,5.06,0.2802,3.03,0.7953
sample_000621,00022_neg_sample,RFI,,567.7,4.13,0.2635,3.64,0.1917
sample_000622,00023_neg_sample,RFI,,565.4,5.22,0.0305,2.97,0.1671
sample_000623,00024_neg_sample,RFI,,412.55,5.8,0.983,3.13,1.0194
sample_000624,00025_neg_sample,RFI,,567.6,3.34,0.1013,2.54,0.4532
sample_000625,00026_neg_sample,RFI,,565.7,4.71,0.7166,3.39,0.347
sample_000626,00027_neg_sample,RFI,,567.0,5.69,0.4139,3.78,0.5102
sample_000627,00028_neg_sample,RFI,,411.51,3.47,0.4748,2.58,0.7786
sample_000628,00029_neg_sample,RFI,,567.4,2.26,0.1406,2.12,0.0541
sample_000629,00030_neg_sample,RFI,,566.7,4.45,0.0492,3.27,0.0737
sample_000630,00031_neg_sample,RFI,,564.9,2.12,0.7324,1.51,0.8346
sample_000631,00032_neg_sample,RFI,,566.7,2.65,0.3716,1.84,0.1189
sample_000632,00033_neg_sample,RFI,,568.5,2.32,0.64,2.04,0.9093
sample_000633,00034_neg_sample,RFI,,566.6,1.69,0.6203,1.56,0.8897
sample_000634,00035_neg_sample,RFI,,411.51,4.99,0.6842,3.21,1.2072
sample_000635,00036_neg_sample,RFI,,566.0,7.94,1.2072,3.76,0.9162
sample_000636,00037_neg_sample,RFI,,411.51,4.83,0.1081,4.68,0.0865
sample_000637,00038_neg_sample,RFI,,411.51,1.98,0.7107,1.51,1.1374
sample_000638,00039_neg_sample,RFI,,564.4,2.22,0.5476,2.05,0.8729
sample_000639,00040_neg_sample,RFI,,566.0,3.62,0.1347,2.94,0.1602
sample_000640,00041_neg_sample,RFI,,567.0,3.71,0.6095,3.61,0.521
sample_000641,00042_neg_sample,RFI,,566.3,3.38,0.1534,3.17,0.1366
sample_000642,00043_neg_sample,RFI,,567.2,1.7,0.001,1.42,0.0993
sample_000643,00044_neg_sample,RFI,,565.6,5.73,0.9889,4.4,0.4168
sample_000644,00045_neg_sample,RFI,,567.9,3.47,0.0305,2.64,0.3549
sample_000645,00046_neg_sample,RFI,,412.55,4.06,0.9899,3.85,1.1334
sample_000646,00047_neg_sample,RFI,,566.0,2.99,0.4846,2.97,0.4198
sample_000647,00048_neg_sample,RFI,,412.55,3.91,1.0519,3.39,1.1207
sample_000648,00049_neg_sample,RFI,,564.9,4.52,1.4775,3.16,0.4905
sample_000649,00050_neg_sample,RFI,,565.6,3.87,0.5308,3.94,0.5407
sample_000650,00051_neg_sample,RFI,,565.1,5.08,0.0216,3.72,0.0983
sample_000651,00052_neg_sample,RFI,,569.4,4.22,0.1386,3.2,0.0963
sample_000652,00053_neg_sample,RFI,,566.0,5.6,0.0678,3.85,0.6852
sample_000653,00054_neg_sample,RFI,,565.4,4.27,0.5004,2.98,0.3804
sample_000654,00055_neg_sample,RFI,,568.5,4.35,0.35,3.33,0.6193
sample_000655,00056_neg_sample,RFI,,566.0,3.81,0.1701,2.84,0.3981
sample_000656,00057_neg_sample,RFI,,567.4,3.83,0.5662,3.02,0.7461
sample_000657,00058_neg_sample,RFI,,569.0,5.28,0.0315,3.74,0.0088
sample_000658,00059_neg_sample,RFI,,566.0,3.88,0.9752,4.19,0.6095
sample_000659,00060_neg_sample,RFI,,565.5,4.33,0.1081,2.88,0.5466
sample_000660,00061_neg_sample,RFI,,412.55,9.88,0.0393,3.99,0.0511
sample_000661,00062_neg_sample,RFI,,566.0,3.66,0.5436,3.29,0.4738
sample_000662,00063_neg_sample,RFI,,566.0,4.03,0.0914,3.47,0.8621
sample_000663,00064_neg_sample,RFI,,412.55,3.65,0.2605,3.15,1.219
sample_000664,00065_neg_sample,RFI,,565.4,3.55,0.0895,2.71,0.0924
sample_000665,00066_neg_sample,RFI,,568.5,4.79,1.103,3.64,0.8828
sample_000666,00067_neg_sample,RFI,,412.55,3.81,0.694,2.72,0.5829
sample_000667,00068_neg_sample,RFI,,567.7,4.0,0.1435,3.28,0.1317
sample_000668,00069_neg_sample,RFI,,570.0,12.71,1.1167,3.41,0.1612
sample_000669,00070_neg_sample,RFI,,566.0,3.36,0.524,2.11,0.8425
sample_000670,00071_neg_sample,RFI,,412.97,4.01,0.0236,3.11,0.3677
sample_000671,00072_neg_sample,RFI,,563.8,5.5,1.2819,2.74,0.8965
sample_000672,00073_neg_sample,RFI,,564.5,4.69,1.0509,4.07,0.6232
sample_000673,00074_neg_sample,RFI,,562.8,3.86,0.0865,3.63,0.2753
sample_000674,00075_neg_sample,RFI,,564.6,3.96,0.1838,3.05,0.2723
sample_000675,00076_neg_sample,RFI,,567.9,4.06,0.9673,3.39,0.7776
sample_000676,00077_neg_sample,RFI,,563.8,4.39,0.8828,3.51,0.0806
sample_000677,00078_neg_sample,RFI,,566.7,3.65,1.3772,3.24,0.8621
sample_000678,00079_neg_sample,RFI,,566.4,5.22,0.0167,3.53,0.0531
sample_000679,00080_neg_sample,RFI,,566.0,4.93,0.9172,3.99,0.5358
sample_000680,00081_neg_sample,RFI,,412.55,2.85,0.1543,1.83,0.0855
sample_000681,00082_neg_sample,RFI,,565.4,4.56,0.8788,4.15,0.8828
sample_000682,00083_neg_sample,RFI,,566.0,4.05,0.5259,3.6,0.8159
sample_000683,00084_neg_sample,RFI,,411.51,4.5,0.3519,3.69,0.3067
sample_000684,00085_neg_sample,RFI,,566.0,4.03,0.3441,2.73,0.408
sample_000685,00086_neg_sample,RFI,,567.2,4.04,0.5043,3.12,0.1376
sample_000686,00087_neg_sample,RFI,,566.0,3.34,0.756,3.77,0.6242
sample_000687,00088_neg_sample,RFI,,563.6,4.83,0.5308,3.23,0.116
sample_000688,00089_neg_sample,RFI,,563.6,3.9,0.001,2.94,0.0836
sample_000689,00090_neg_sample,RFI,,411.51,4.24,0.1357,3.1,0.7746
sample_000690,00091_neg_sample,RFI,,565.4,4.11,0.4896,4.78,0.175
sample_000691,00092_neg_sample,RFI,,412.97,4.64,0.5023,3.52,1.0587
sample_000692,00093_neg_sample,RFI,,411.51,4.58,0.1553,3.38,0.2202
sample_000693,00094_neg_sample,RFI,,566.2,3.14,0.2232,2.51,0.1042
sample_000694,00095_neg_sample,RFI,,412.55,7.33,0.0108,5.01,0.4099
sample_000695,00096_neg_sample,RFI,,562.6,6.19,0.8759,3.99,0.3234
sample_000696,00097_neg_sample,RFI,,566.0,4.69,1.0725,3.41,0.5249
sample_000697,00098_neg_sample,RFI,,565.5,6.58,1.1787,3.82,0.3008
sample_000698,00099_neg_sample,RFI,,566.2,3.63,0.8307,3.02,0.8513
sample_000699,00100_neg_sample,RFI,,552.4,4.07,0.9014,3.66,0.7176
sample_000700,00101_neg_sample,RFI,,411.51,4.44,1.0361,3.19,0.3352
sample_000701,00102_neg_sample,RFI,,568.1,4.65,0.0885,3.65,0.0551
sample_000702,00103_neg_sample,RFI,,412.97,3.48,0.1484,2.25,0.0659
sample_000703,00104_neg_sample,RFI,,565.8,4.85,0.9221,4.45,0.8926
sample_000704,00105_neg_sample,RFI,,412.97,4.0,0.6626,3.0,0.9496
sample_000705,00106_neg_sample,RFI,,518.0,3.86,0.0295,3.31,0.1897
sample_000706,00107_neg_sample,RFI,,567.6,5.34,1.1325,3.33,0.0393
sample_000707,00108_neg_sample,RFI,,565.8,13.48,0.4207,1.92,0.3038
sample_000708,00109_neg_sample,RFI,,565.4,4.75,0.1769,3.37,0.115
sample_000709,00110_neg_sample,RFI,,565.7,4.22,0.6527,3.21,0.4345
sample_000710,00111_neg_sample,RFI,,564.4,5.46,0.6449,2.81,0.6537
sample_000711,00112_neg_sample,RFI,,567.6,5.33,1.5375,2.94,0.8474
sample_000712,00113_neg_sample,RFI,,567.3,3.99,0.5397,3.65,0.9142
sample_000713,00114_neg_sample,RFI,,563.7,3.56,0.5633,3.15,0.4463
sample_000714,00115_neg_sample,RFI,,564.6,7.79,1.3035,3.71,0.7019
sample_000715,00116_neg_sample,RFI,,564.3,4.67,0.4483,4.42,0.4827
sample_000716,00117_neg_sample,RFI,,566.0,4.86,0.059,3.27,0.0914
sample_000717,00118_neg_sample,RFI,,552.4,4.48,0.3293,3.28,0.057
sample_000718,00119_neg_sample,RFI,,566.0,4.1,0.2792,2.93,0.4581
sample_000719,00120_neg_sample,RFI,,565.8,4.5,0.1809,3.99,0.2399
sample_000720,00121_neg_sample,RFI,,565.8,5.05,0.9132,4.59,0.2448
sample_000721,00122_neg_sample,RFI,,566.0,3.89,0.8258,3.08,0.8651
sample_000722,00123_neg_sample,RFI,,567.3,6.19,0.1199,3.93,0.0334
sample_000723,00124_neg_sample,RFI,,565.4,3.86,1.6358,3.02,0.7668
sample_000724,00125_neg_sample,RFI,,411.51,4.53,0.1858,3.14,0.5879
sample_000725,00126_neg_sample,RFI,,568.0,2.99,0.0836,2.58,0.3647
sample_000726,00127_neg_sample,RFI,,568.9,5.19,0.812,5.07,0.2222
sample_000727,00128_neg_sample,RFI,,569.2,4.33,0.287,2.76,0.2979
sample_000728,00129_neg_sample,RFI,,563.4,4.83,0.1042,3.39,0.4561
sample_000729,00130_neg_sample,RFI,,565.1,7.71,1.3586,3.22,0.928
sample_000730,00131_neg_sample,RFI,,568.0,4.5,0.346,3.45,0.0914
sample_000731,00132_neg_sample,RFI,,566.6,5.8,0.6822,3.3,0.8376
sample_000732,00133_neg_sample,RFI,,567.9,7.74,0.1612,4.74,0.0963
sample_000733,00134_neg_sample,RFI,,567.4,4.25,0.0413,3.83,0.0108
sample_000734,00135_neg_sample,RFI,,412.97,8.35,0.0393,5.38,0.0826
sample_000735,00136_neg_sample,RFI,,567.2,1.96,0.9929,1.28,0.5672
sample_000736,00137_neg_sample,RFI,,568.1,1.8,0.1543,1.38,0.1209
sample_000737,00138_neg_sample,RFI,,566.7,4.12,0.7648,2.79,0.7619
sample_000738,00139_neg_sample,RFI,,568.3,5.07,0.0393,2.94,0.0334
sample_000739,00140_neg_sample,RFI,,565.4,7.19,0.0354,3.74,0.1307
sample_000740,00141_neg_sample,RFI,,412.55,5.58,0.0393,4.0,0.0088
sample_000741,00142_neg_sample,RFI,,566.9,4.05,0.4669,3.1,0.1789
sample_000742,00143_neg_sample,RFI,,565.6,3.58,0.0757,3.3,0.1003
sample_000743,00144_neg_sample,RFI,,567.2,3.82,0.3893,4.36,0.8267
sample_000744,00145_neg_sample,RFI,,412.55,4.16,0.1789,3.8,1.1659
sample_000745,00146_neg_sample,RFI,,411.51,4.28,0.4207,2.91,1.1993
sample_000746,00147_neg_sample,RFI,,566.0,4.44,0.0934,3.24,0.5063
sample_000747,00148_neg_sample,RFI,,568.4,3.29,0.0069,2.48,0.0904
sample_000748,00149_neg_sample,RFI,,411.51,3.6,1.5286,3.54,1.1443
sample_000749,00150_neg_sample,RFI,,569.0,2.19,0.7579,2.16,0.8838
sample_000750,00151_neg_sample,RFI,,411.51,2.87,0.2526,1.93,0.0678
sample_000751,00152_neg_sample,RFI,,566.7,4.33,1.1315,3.18,0.8287
sample_000752,00153_neg_sample,RFI,,412.55,4.49,0.6685,3.93,1.2131
sample_000753,00154_neg_sample,RFI,,568.3,4.43,1.1541,3.88,0.8336
sample_000754,00155_neg_sample,RFI,,565.0,4.18,0.0423,2.89,0.1691
sample_000755,00156_neg_sample,RFI,,566.7,4.34,0.2222,3.84,0.2202
sample_000756,00157_neg_sample,RFI,,566.0,4.74,0.8916,3.66,0.1445
sample_000757,00158_neg_sample,RFI,,566.5,4.85,0.0944,3.7,0.0727
sample_000758,00159_neg_sample,RFI,,564.6,6.33,1.3822,3.58,0.7461
sample_000759,00160_neg_sample,RFI,,517.8,5.29,0.057,4.71,0.0295
sample_000760,00161_neg_sample,RFI,,412.55,4.81,1.0174,3.07,0.87
sample_000761,00162_neg_sample,RFI,,565.8,5.73,0.6272,3.78,0.1435
sample_000762,00163_neg_sample,RFI,,567.2,4.79,0.0757,3.56,0.8002
sample_000763,00164_neg_sample,RFI,,565.5,8.39,0.5938,3.53,0.0688
sample_000764,00165_neg_sample,RFI,,566.5,4.36,0.7147,2.86,0.0757
sample_000765,00166_neg_sample,RFI,,412.18,4.96,0.0413,2.8,0.0639
sample_000766,00167_neg_sample,RFI,,565.8,3.82,0.4748,3.28,0.5741
sample_000767,00168_neg_sample,RFI,,564.3,9.9,0.1022,3.66,0.0324
sample_000768,00169_neg_sample,RFI,,565.5,4.9,0.461,3.47,0.4758
sample_000769,00170_neg_sample,RFI,,564.5,5.82,0.3362,3.02,0.754
sample_000770,00171_neg_sample,RFI,,566.0,4.15,0.232,3.07,0.869
sample_000771,00172_neg_sample,RFI,,567.9,5.14,0.6665,4.34,0.6763
sample_000772,00173_neg_sample,RFI,,567.4,6.87,1.3664,2.92,0.9083
sample_000773,00174_neg_sample,RFI,,567.5,4.9,1.4785,3.33,0.7432
sample_000774,00175_neg_sample,RFI,,564.8,4.26,0.5967,3.32,0.5141
sample_000775,00176_neg_sample,RFI,,564.5,4.26,0.7196,3.47,0.8297
sample_000776,00177_neg_sample,RFI,,569.0,5.28,0.3264,1.95,0.0049
sample_000777,00178_neg_sample,RFI,,566.0,4.52,1.5974,3.24,0.8906
sample_000778,00179_neg_sample,RFI,,412.55,4.42,0.0668,3.24,0.0187
sample_000779,00180_neg_sample,RFI,,563.7,4.39,0.0315,3.26,0.2664
sample_000780,00181_neg_sample,RFI,,412.55,4.78,1.2317,2.78,1.0843
sample_000781,00182_neg_sample,RFI,,566.6,4.11,1.6427,3.95,0.8985
sample_000782,00183_neg_sample,RFI,,568.5,4.17,0.2939,3.29,0.176
sample_000783,00184_neg_sample,RFI,,567.0,4.65,0.2261,3.87,0.4846
sample_000784,00185_neg_sample,RFI,,566.0,8.12,0.0315,6.08,0.0315
sample_000785,00186_neg_sample,RFI,,566.0,4.35,0.7442,3.48,0.6567
sample_000786,00187_neg_sample,RFI,,567.0,2.76,0.0206,2.55,0.056
sample_000787,00188_neg_sample,RFI,,568.2,5.36,1.7852,3.74,0.8867
sample_000788,00189_neg_sample,RFI,,566.0,3.76,1.3674,2.88,0.6675
sample_000789,00190_neg_sample,RFI,,566.5,4.99,0.3087,4.55,0.4335
sample_000790,00191_neg_sample,RFI,,566.9,4.45,1.2131,3.28,0.0688
sample_000791,00192_neg_sample,RFI,,566.0,4.86,0.0079,3.24,0.345
sample_000792,00193_neg_sample,RFI,,566.7,4.05,0.926,3.28,0.5662
sample_000793,00194_neg_sample,RFI,,564.1,3.93,0.4384,3.08,0.3352
sample_000794,00195_neg_sample,RFI,,412.55,4.3,0.3755,3.75,0.3971
sample_000795,00196_neg_sample,RFI,,565.6,4.43,0.3175,2.94,0.3873
sample_000796,00197_neg_sample,RFI,,566.4,4.79,0.001,4.03,0.0079
sample_000797,00198_neg_sample,RFI,,566.0,6.28,0.0727,3.98,0.0551
sample_000798,00199_neg_sample,RFI,,565.2,4.51,1.1885,3.69,0.8317
sample_000799,00200_neg_sample,RFI,,412.55,3.42,0.3647,3.31,0.3136
sample_000800,00201_neg_sample,RFI,,566.0,5.09,1.6338,2.92,0.6704
sample_000801,00202_neg_sample,RFI,,412.55,3.99,0.1966,3.1,0.6527
sample_000802,00203_neg_sample,RFI,,566.0,5.05,0.0138,3.18,0.2074
sample_000803,00204_neg_sample,RFI,,564.7,3.93,0.2556,3.04,0.5181
sample_000804,00205_neg_sample,RFI,,566.0,7.61,0.4581,4.0,0.6183
sample_000805,00206_neg_sample,RFI,,566.1,4.93,0.0442,3.75,0.7294
sample_000806,00207_neg_sample,RFI,,569.2,8.1,0.1534,6.35,0.3136
sample_000807,00208_neg_sample,RFI,,412.55,4.88,0.4581,3.28,0.5102
sample_000808,00209_neg_sample,RFI,,565.9,5.12,0.3441,4.62,0.4424
sample_000809,00210_neg_sample,RFI,,565.6,4.73,1.2681,3.33,0.6026
sample_000810,00211_neg_sample,RFI,,565.4,7.35,1.1482,4.23,0.8749
sample_000811,00212_neg_sample,RFI,,569.0,4.07,0.522,3.3,0.3254
sample_000812,00213_neg_sample,RFI,,517.83,7.18,0.0708,3.24,0.0334
sample_000813,00214_neg_sample,RFI,,567.2,5.46,0.4817,4.58,0.4778
sample_000814,00215_neg_sample,RFI,,570.0,4.08,1.5719,2.94,0.7186
sample_000815,00216_neg_sample,RFI,,564.2,3.84,0.2969,2.66,0.0374
sample_000816,00217_neg_sample,RFI,,568.9,4.08,0.4109,3.12,0.2576
sample_000817,00218_neg_sample,RFI,,566.0,4.18,0.0275,3.16,0.6665
sample_000818,00219_neg_sample,RFI,,565.3,4.09,1.8167,3.07,0.4276
sample_000819,00220_neg_sample,RFI,,412.55,4.08,0.6173,3.62,0.4896
sample_000820,00221_neg_sample,RFI,,561.0,4.06,0.4325,2.65,0.3667
sample_000821,00222_neg_sample,RFI,,566.2,7.6,0.7353,6.44,0.8788
sample_000822,00223_neg_sample,RFI,,566.1,4.65,1.2927,4.07,0.8906
sample_000823,00224_neg_sample,RFI,,569.5,5.16,0.7432,3.37,0.1799
sample_000824,00225_neg_sample,RFI,,568.0,8.9,0.0413,4.15,0.0708
sample_000825,00226_neg_sample,RFI,,566.7,5.21,0.7884,3.97,0.7157
sample_000826,00227_neg_sample,RFI,,412.18,4.6,0.3578,3.7,0.5092
sample_000827,00228_neg_sample,RFI,,567.9,3.28,0.1406,2.52,0.0973
sample_000828,00229_neg_sample,RFI,,555.4,7.25,1.5473,4.09,0.8739
sample_000829,00230_neg_sample,RFI,,564.6,3.88,0.2153,3.44,0.5682
sample_000830,00231_neg_sample,RFI,,564.5,4.44,0.0639,3.36,0.1357
sample_000831,00232_neg_sample,RFI,,411.51,4.46,1.1993,3.14,1.0017
sample_000832,00233_neg_sample,RFI,,565.9,4.45,0.8031,3.89,0.8051
sample_000833,00234_neg_sample,RFI,,565.1,3.84,0.8897,3.02,0.578
sample_000834,00235_neg_sample,RFI,,566.9,4.45,1.3713,3.3,0.8779
sample_000835,00236_neg_sample,RFI,,565.3,6.88,0.0472,3.74,0.0806
sample_000836,00237_neg_sample,RFI,,566.7,5.18,0.1376,3.5,0.6262
sample_000837,00238_neg_sample,RFI,,570.0,3.65,0.2939,2.83,0.0374
sample_000838,00239_neg_sample,RFI,,567.7,4.0,0.0374,3.65,0.1121
sample_000839,00240_neg_sample,RFI,,566.0,3.59,0.0374,3.1,0.0944
sample_000840,00241_neg_sample,RFI,,566.0,4.06,1.3576,2.32,0.6478
sample_000841,00242_neg_sample,RFI,,567.7,4.94,1.0125,2.46,0.0305
sample_000842,00243_neg_sample,RFI,,566.0,4.26,0.6803,3.03,0.8169
sample_000843,00244_neg_sample,RFI,,567.2,5.89,0.9103,2.89,0.5987
sample_000844,00245_neg_sample,RFI,,566.0,4.02,0.5289,3.61,0.4699
sample_000845,00246_neg_sample,RFI,,564.5,5.69,0.7196,3.51,0.7117
sample_000846,00247_neg_sample,RFI,,566.3,4.22,0.1386,3.26,0.0619
sample_000847,00248_neg_sample,RFI,,567.8,4.49,0.0334,3.13,0.519
sample_000848,00249_neg_sample,RFI,,518.0,4.75,0.8395,3.15,0.4089
sample_000849,00250_neg_sample,RFI,,563.2,4.3,1.3772,3.65,0.7835
sample_000850,00251_neg_sample,RFI,,564.7,4.14,0.4807,2.45,0.113
sample_000851,00252_neg_sample,RFI,,565.9,4.12,1.392,3.73,0.3854
sample_000852,00253_neg_sample,RFI,,563.5,4.11,0.7825,3.8,0.0305
sample_000853,00254_neg_sample,RFI,,564.9,4.34,0.3323,4.16,0.0315
sample_000854,00255_neg_sample,RFI,,565.9,3.04,0.0767,2.36,0.0069
sample_000855,00256_neg_sample,RFI,,565.5,3.81,0.3097,3.06,0.2733
sample_000856,00257_neg_sample,RFI,,564.9,5.1,0.4817,3.29,0.0944
sample_000857,00258_neg_sample,RFI,,565.7,5.37,0.291,3.34,0.3755
sample_000858,00259_neg_sample,RFI,,568.0,4.52,0.0963,3.62,0.1848
sample_000859,00260_neg_sample,RFI,,567.1,4.5,1.5512,3.35,0.3372
sample_000860,00261_neg_sample,RFI,,412.97,4.42,0.7225,3.46,0.3274
sample_000861,00262_neg_sample,RFI,,566.0,4.4,0.8297,3.56,0.0059
sample_000862,00263_neg_sample,RFI,,569.5,4.18,0.0383,3.42,0.0629
sample_000863,00264_neg_sample,RFI,,412.55,3.76,1.4677,3.2,0.8385
sample_000864,00265_neg_sample,RFI,,412.55,4.52,0.6468,3.72,0.7904
sample_000865,00266_neg_sample,RFI,,564.7,4.05,0.6616,2.93,0.0118
sample_000866,00267_neg_sample,RFI,,565.3,3.86,0.7274,3.28,0.3559
sample_000867,00268_neg_sample,RFI,,568.3,3.66,0.1121,3.17,0.4129
sample_000868,00269_neg_sample,RFI,,565.7,3.97,0.115,2.79,0.6724
sample_000869,00270_neg_sample,RFI,,568.0,3.72,1.1236,3.54,0.7796
sample_000870,00271_neg_sample,RFI,,568.3,4.75,0.64,4.65,0.0914
sample_000871,00272_neg_sample,RFI,,564.5,3.93,0.5426,3.79,0.0226
sample_000872,00273_neg_sample,RFI,,562.6,5.79,1.3015,3.15,0.7176
sample_000873,00274_neg_sample,RFI,,412.55,6.59,0.6331,3.82,0.6999
sample_000874,00275_neg_sample,RFI,,566.5,4.93,0.2782,3.16,0.6773
sample_000875,00276_neg_sample,RFI,,565.4,4.69,0.9555,2.93,0.0079
sample_000876,00277_neg_sample,RFI,,565.4,3.82,0.4394,3.91,0.4896
sample_000877,00278_neg_sample,RFI,,566.0,4.55,0.2585,3.57,0.6842
sample_000878,00279_neg_sample,RFI,,566.0,4.77,0.7628,3.65,0.8847
sample_000879,00280_neg_sample,RFI,,550.6,7.23,0.0983,3.12,0.3441
sample_000880,00281_neg_sample,RFI,,565.6,4.36,0.1956,2.87,0.3588
sample_000881,00282_neg_sample,RFI,,563.6,4.76,0.637,3.73,0.9014
sample_000882,00283_neg_sample,RFI,,567.0,5.94,0.2674,4.91,0.2536
sample_000883,00284_neg_sample,RFI,,567.1,5.43,0.0305,4.29,0.3333
sample_000884,00285_neg_sample,RFI,,565.6,3.61,0.0049,2.12,0.2418
sample_000885,00286_neg_sample,RFI,,412.55,3.7,0.117,3.5,0.1091
sample_000886,00287_neg_sample,RFI,,566.0,5.21,0.1199,3.66,0.6341
sample_000887,00288_neg_sample,RFI,,564.3,4.65,0.3165,3.41,0.4237
sample_000888,00289_neg_sample,RFI,,565.1,4.08,1.4578,2.98,0.8336
sample_000889,00290_neg_sample,RFI,,566.0,5.33,0.3922,3.64,0.3598
sample_000890,00291_neg_sample,RFI,,412.18,4.65,0.2772,3.49,0.2772
sample_000891,00292_neg_sample,RFI,,567.9,4.0,0.6881,3.06,0.9191
sample_000892,00293_neg_sample,RFI,,412.55,5.2,0.0039,3.37,1.1816
sample_000893,00294_neg_sample,RFI,,563.8,3.59,0.87,2.71,0.8071
sample_000894,00295_neg_sample,RFI,,567.4,4.24,0.0216,3.95,0.2576
sample_000895,00296_neg_sample,RFI,,566.0,3.62,0.2536,3.58,0.0403
sample_000896,00297_neg_sample,RFI,,411.51,4.36,1.1413,3.57,1.0578
